"type","institutionid","collectionid","institutioncode","collectioncode","datasetname","ownerinstitutioncode","basisofrecord","informationwithheld","dynamicproperties","occurrenceid","catalognumber","recordnumber","recordedby","individualcount","sex","lifestage","reproductivecondition","behavior","establishmentmeans","occurrencestatus","preparations","disposition","associatedmedia","othercatalognumbers","occurrenceremarks","associatedoccurrences","previousidentifications","fieldnumber","eventdate","eventtime","startdayofyear","enddayofyear","year","month","day","verbatimeventdate","habitat","samplingprotocol","eventremarks","highergeography","continent","waterbody","islandgroup","island","country","countrycode","stateprovince","county","municipality","locality","verbatimlocality","minimumelevationinmeters","maximumelevationinmeters","verbatimelevation","locationaccordingto","locationremarks","decimallatitude","decimallongitude","geodeticdatum","coordinateuncertaintyinmeters","coordinateprecision","verbatimcoordinates","verbatimlatitude","verbatimlongitude","verbatimcoordinatesystem","georeferencedby","georeferenceddate","georeferenceprotocol","georeferencesources","georeferenceverificationstatus","georeferenceremarks","identificationqualifier","identifiedby","dateidentified","identificationverificationstatus","identificationremarks","scientificname","higherclassification","kingdom","phylum","class","order","family","genus","specificepithet","infraspecificepithet","taxonrank","scientificnameauthorship","vernacularname","nomenclaturalcode","inst_cat"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ; age=u ad. ; verbatim collector=Hilda Wood","urn:occurrence:Arctos:MVZ:Bird:31675:1378409","31675","59","Collector(s): Hilda W. Grinnell","1","male",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,"collector number=59",NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1904-05-20",NA,NA,"141","1904","05","20","20 May 1904",NA,NA,NA,"North America, United States, California, Los Angeles County","North America",NA,NA,NA,"United States",NA,"California","Los Angeles County",NA,"Glendora","Glendora",NA,NA,NA,"Tate S. Tunstall",NA,"34.132612","-117.852357","North American Datum 1927","4396.727808",NA,"34.132612/-117.852357",NA,NA,"decimal degrees","Tate S. Tunstall","2000-05-16 00:00:00.0","MaNIS georeferencing guidelines","Terrain Navigator 3.02 USGS 1:100000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_31675"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ; age=u imm.","urn:occurrence:Arctos:MVZ:Bird:56331:870625","56331","1216","Collector(s): John R. Pemberton","1","male",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,"collector number=1216",NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1908-07-21",NA,NA,"203","1908","07","21","21 Jul 1908",NA,NA,NA,"North America, United States, California, Alameda County","North America",NA,NA,NA,"United States",NA,"California","Alameda County",NA,"Arroyo Mocho","Arroyo Mocho",NA,NA,NA,"Daniel J. Stewart",NA,"37.5997589","-121.6553232","North American Datum 1927","17232.855552",NA,"37.5997589/-121.6553232",NA,NA,"decimal degrees","Daniel J. Stewart","2002-08-14 00:00:00.0","MaNIS georeferencing guidelines","Terrain Navigator 5.03 USGS 1:24000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_56331"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ; age=u imm.","urn:occurrence:Arctos:MVZ:Bird:87866:1442670","87866",NA,"Collector(s): Clark P. Streator","1","male",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,NA,NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1936-06-30",NA,NA,"182","1936","06","30","30 Jun 1936",NA,NA,NA,"North America, United States, California, Santa Cruz County","North America",NA,NA,NA,"United States",NA,"California","Santa Cruz County",NA,"Santa Cruz","Santa Cruz",NA,NA,NA,"Kristina Yamamoto",NA,"36.9746516","-122.0068146","North American Datum 1927","5082.308352",NA,"36.9746516/-122.0068146",NA,NA,"decimal degrees","Kristina Yamamoto","2005-12-12 00:00:00.0","MaNIS georeferencing guidelines","Terrain Navigator Pro version 7.0 USGS 1:24,000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_87866"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ; age=u imm. ; reproductive data=testes 1/4 enlarged ; molt condition=examined for molt ; soft parts=for comments on colors, see remarks","urn:occurrence:Arctos:MVZ:Bird:108958:1182846","108958",NA,"Collector(s): W. W. Brown","1","male",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,NA,"IRIS YELLOW. ED:MOLT-SEE SPECIMEN.",NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1937-11-27",NA,NA,"331","1937","11","27","27 Nov 1937",NA,NA,NA,"North America, Mexico, Guerrero","North America",NA,NA,NA,"Mexico",NA,"Guerrero",NA,NA,"Chilpancingo de los Bravos","Chilpancingo",NA,NA,NA,"Yolanda Hortelano-Moncada",NA,"17.5513888888","-99.5008333333","North American Datum 1927","2293",NA,"17d 33m 5s N/99d 30m 3s W",NA,NA,"deg. min. sec.","Yolanda Hortelano-Moncada","2003-06-30 00:00:00.0","MaNIS georeferencing guidelines","Principales Resultados por Localidad, XII Censo de Población y Vivienda 2000, Instituto Nacional de Estadística Geografía e Informática (INEGI)","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_108958"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ; age=u imm. ; reproductive data=testes 1/4 enlarged ; molt condition=examined for molt ; soft parts=for comments on colors, see remarks","urn:occurrence:Arctos:MVZ:Bird:109313:1144650","109313",NA,"Collector(s): W. W. Brown","1","male",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,NA,"IRIS BROWN. ED:MOLT-SEE SPECIMEN.",NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1944-01-09",NA,NA,"9","1944","01","09","9 Jan 1944",NA,NA,NA,"North America, Mexico, Guerrero","North America",NA,NA,NA,"Mexico",NA,"Guerrero",NA,NA,"Chilpancingo de los Bravos","Chilpancingo",NA,NA,NA,"Yolanda Hortelano-Moncada",NA,"17.5513888888","-99.5008333333","North American Datum 1927","2293",NA,"17d 33m 5s N/99d 30m 3s W",NA,NA,"deg. min. sec.","Yolanda Hortelano-Moncada","2003-06-30 00:00:00.0","MaNIS georeferencing guidelines","Principales Resultados por Localidad, XII Censo de Población y Vivienda 2000, Instituto Nacional de Estadística Geografía e Informática (INEGI)","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_109313"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ; age=u imm. ; reproductive data=testes 1/4 enlarged ; soft parts=for comments on colors, see remarks","urn:occurrence:Arctos:MVZ:Bird:109306:281542","109306",NA,"Collector(s): W. W. Brown","1","male",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,NA,"IRIS STRAW COLOR; TARSUS DUSKY.",NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1937-11-29",NA,NA,"333","1937","11","29","29 Nov 1937",NA,NA,NA,"North America, Mexico, Guerrero","North America",NA,NA,NA,"Mexico",NA,"Guerrero",NA,NA,"Chilpancingo de los Bravos","Chilpancingo",NA,NA,NA,"Yolanda Hortelano-Moncada",NA,"17.5513888888","-99.5008333333","North American Datum 1927","2293",NA,"17d 33m 5s N/99d 30m 3s W",NA,NA,"deg. min. sec.","Yolanda Hortelano-Moncada","2003-06-30 00:00:00.0","MaNIS georeferencing guidelines","Principales Resultados por Localidad, XII Censo de Población y Vivienda 2000, Instituto Nacional de Estadística Geografía e Informática (INEGI)","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_109306"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ; age=unknown","urn:occurrence:Arctos:MVZ:Bird:21571:702329","21571",NA,"Collector(s): Rollo H. Beck","1","male",NA,NA,NA,"wild caught",NA,"skeleton",NA,NA,NA,NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1912-06-20",NA,NA,"172","1912","06","20","20 Jun 1912",NA,NA,NA,"North America, United States, California, Merced County","North America",NA,NA,NA,"United States",NA,"California","Merced County",NA,"Los Baños","Los Banos",NA,NA,NA,"Tamrya D. d'Artenay",NA,"37.060514","-120.84778","North American Datum 1927","804.672",NA,"37.060514/-120.84778",NA,NA,"decimal degrees","Tamrya D. d'Artenay","2001-03-19 00:00:00.0","not recorded","Terrain Navigator 3.02 USGS 1:100000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_21571"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ? ; age=imm. ; molt condition=examined for molt","urn:occurrence:Arctos:MVZ:Bird:90406:157098","90406",NA,"Collector(s): Clark P. Streator","1","male ?",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,NA,"ED:MOLT-SEE SPECIMEN.",NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1939-06-26",NA,NA,"177","1939","06","26","26 Jun 1939",NA,NA,NA,"North America, United States, California, Santa Cruz County","North America",NA,NA,NA,"United States",NA,"California","Santa Cruz County",NA,"Santa Cruz","Santa Cruz",NA,NA,NA,"Kristina Yamamoto",NA,"36.9746516","-122.0068146","North American Datum 1927","5082.308352",NA,"36.9746516/-122.0068146",NA,NA,"decimal degrees","Kristina Yamamoto","2005-12-12 00:00:00.0","MaNIS georeferencing guidelines","Terrain Navigator Pro version 7.0 USGS 1:24,000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_90406"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=male ? ; age=u imm.","urn:occurrence:Arctos:MVZ:Bird:90405:1206302","90405",NA,"Collector(s): Clark P. Streator","1","male ?",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,NA,NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1938-08-28",NA,NA,"240","1938","08","28","28 Aug 1938",NA,NA,NA,"North America, United States, California, Santa Cruz County","North America",NA,NA,NA,"United States",NA,"California","Santa Cruz County",NA,"Santa Cruz","Santa Cruz",NA,NA,NA,"Kristina Yamamoto",NA,"36.9746516","-122.0068146","North American Datum 1927","5082.308352",NA,"36.9746516/-122.0068146",NA,NA,"decimal degrees","Kristina Yamamoto","2005-12-12 00:00:00.0","MaNIS georeferencing guidelines","Terrain Navigator Pro version 7.0 USGS 1:24,000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_90405"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=recorded as unknown ; age=fledgling ; fat deposition=no fat ; molt condition=molting all over ; weight=83 g; verbatim preservation date=20 Nov 2006","urn:occurrence:Arctos:MVZ:Bird:184110:1920104","184110",NA,"Collector(s): Susan Heckly; Preparator(s): Ilona Lunenburg","1","recorded as unknown",NA,NA,NA,"wild caught",NA,"tissue (frozen); skeleton; syrinx (70% ethanol)",NA,NA,"LWH: Lindsay Wildlife Hospital=2004-2583; preparator number=93",NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Elizabeth A. Wommack on 2011-01-13; method: geographic distribution",NA,"2004-06-01",NA,NA,"153","2004","06","01","1 Jun 2004",NA,"salvage",NA,"North America, United States, California, Alameda County","North America",NA,NA,NA,"United States",NA,"California","Alameda County",NA,"Berkeley","Berkeley, Alameda County, California",NA,NA,NA,"Joseph Engeda",NA,"37.88428","-122.26767","North American Datum 1927","108.61",NA,"37.88428/-122.26767",NA,NA,"decimal degrees","Joseph Engeda","2011-02-04 00:00:00.0","MaNIS georeferencing guidelines","Terrain Navigator 5.03 USGS 1:24000","unverified",NA,"A","Elizabeth A. Wommack","2011-01-13","geographic distribution",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_184110"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=unknown ; age=imm.","urn:occurrence:Arctos:MVZ:Bird:127180:1486819","127180","3470","Collector(s): James L. Peters","1","unknown",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,"collector number=3470",NA,NA,"<i>Butorides virescens virescens</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1927-08-20",NA,NA,"232","1927","08","20","20 Aug 1927",NA,NA,NA,"North America, United States, Massachusetts, Plymouth County","North America",NA,NA,NA,"United States",NA,"Massachusetts","Plymouth County",NA,"Marshfield","Marshfield",NA,NA,NA,"Moe E. Flannery",NA,"42.09","-70.7","North American Datum 1927","8046.72",NA,"42.09/-70.7",NA,NA,"decimal degrees","Moe E. Flannery","2003-01-03 00:00:00.0","not recorded","Terrain Navigator 2.0 USGS 1:25,000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens virescens","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","virescens",NA,NA,NA,"ICZN","mvz_127180"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=unknown ; age=imm.","urn:occurrence:Arctos:MVZ:Bird:87868:1227888","87868",NA,"Collector(s): Clark P. Streator","1","unknown",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,NA,NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1940-08-15",NA,NA,"228","1940","08","15","15 Aug 1940",NA,NA,NA,"North America, United States, California, Santa Cruz County","North America",NA,NA,NA,"United States",NA,"California","Santa Cruz County",NA,"Santa Cruz","Santa Cruz",NA,NA,NA,"Kristina Yamamoto",NA,"36.9746516","-122.0068146","North American Datum 1927","5082.308352",NA,"36.9746516/-122.0068146",NA,NA,"decimal degrees","Kristina Yamamoto","2005-12-12 00:00:00.0","MaNIS georeferencing guidelines","Terrain Navigator Pro version 7.0 USGS 1:24,000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_87868"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=unknown ; age=u ad","urn:occurrence:Arctos:MVZ:Bird:175203:340488","175203","746","Collector(s): C. Cavalier","1","unknown",NA,NA,NA,"wild caught",NA,"whole organism (ethanol)",NA,NA,"MVZ anatomical collection=ANAT-4062; collector number=746","WHOLE.",NA,"<i>Butorides virescens virescens</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1967-09-20",NA,NA,"263","1967","09","20","20 Sep 1967",NA,NA,NA,"Central America, Panama, Darien","Central America",NA,NA,NA,"Panama",NA,"Darien",NA,NA,"Yaviza","Yaviza",NA,NA,NA,"Sunny N. Shah",NA,"8.18333","-77.68333","World Geodetic System 1984","3852",NA,"8.18333/-77.68333",NA,NA,"decimal degrees","Sunny N. Shah","2003-06-04 00:00:00.0","MaNIS georeferencing guidelines","Alexandria Digital Library Gazetteer","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens virescens","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","virescens",NA,NA,NA,"ICZN","mvz_175203"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=unknown ; age=unknown","urn:occurrence:Arctos:MVZ:Bird:25514:240392","25514",NA,"Collector(s): J. B. Ames","1","unknown",NA,NA,NA,"wild caught",NA,"skeleton",NA,NA,NA,"ACCN. NO. 768B.",NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1914-08-29",NA,NA,"241","1914","08","29","29 Aug 1914",NA,NA,NA,"North America, United States, California, Stanislaus County","North America",NA,NA,NA,"United States",NA,"California","Stanislaus County",NA,"Oakdale","Oakdale",NA,NA,NA,"Tamrya D. d'Artenay",NA,"37.767378","-120.864695","North American Datum 1927","402.336",NA,"37.767378/-120.864695",NA,NA,"decimal degrees","Tamrya D. d'Artenay","2001-03-12 00:00:00.0","not recorded","Terrain Navigator 3.02 USGS 1:100000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_25514"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"sex=unknown ; age=unknown","urn:occurrence:Arctos:MVZ:Bird:7698:1725969","7698",NA,"Collector(s): John Hornung","1","unknown",NA,NA,NA,"wild caught",NA,"skull",NA,NA,NA,NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1818-06-20/1999-02-04","1818-06-20/1999-02-04",NA,NA,NA,NA,NA,"not recorded",NA,NA,NA,"North America, United States, California, San Mateo County","North America",NA,NA,NA,"United States",NA,"California","San Mateo County",NA,"Menlo Park","Menlo Park",NA,NA,NA,"Matt Krebs",NA,"37.45587","-122.186478","North American Datum 1927","2414.016",NA,"37.45587/-122.186478",NA,NA,"decimal degrees","Matt Krebs","2001-02-01 00:00:00.0","not recorded","Terrain Navigator 3.02 USGS 1:24000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_7698"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"weight=121.00 g; sex=female ; age=u ad.","urn:occurrence:Arctos:MVZ:Bird:156787:1106500","156787","25","Collector(s): David W. Conard","1","female",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,"collector number=25",NA,NA,"<i>Butorides virescens virescens</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1965-10-09",NA,NA,"282","1965","10","09","9 Oct 1965",NA,NA,NA,"Central America, Costa Rica, Puntarenas, Cocos Island","Central America",NA,NA,"Cocos Island","Costa Rica",NA,"Puntarenas",NA,NA,"Chatham Bay, Isla del Coco [Cocos Island]","Chatham Bay",NA,NA,NA,"Kristina Yamamoto and Andrea Caiozzi-Cofre",NA,"5.56217","-87.03467","North American Datum 1927","3195",NA,"5.56217/-87.03467",NA,NA,"decimal degrees","Kristina Yamamoto and Andrea Caiozzi-Cofre","2003-03-14 00:00:00.0","MaNIS georeferencing guidelines","Instituto Geografico Nacional; San Jose, Costa Rica; 1:100,000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens virescens","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","virescens",NA,NA,NA,"ICZN","mvz_156787"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"weight=165.50 g; sex=female ; age=u ad.","urn:occurrence:Arctos:MVZ:Bird:71283:632457","71283","5278","Collector(s): Ward C. Russell","1","female",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,"collector number=5278",NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1937-04-30",NA,NA,"120","1937","04","30","30 Apr 1937",NA,NA,NA,"North America, United States, California, Imperial County","North America",NA,NA,NA,"United States",NA,"California","Imperial County",NA,"Alamo Duck Preserve, 8 mi NW Calipatria","Alamo Duck Preserve, 8 mi NW Calipatria",NA,NA,NA,"Tamrya D. d'Artenay",NA,"33.1714","-115.5697","North American Datum 1927","6720.620544",NA,"33.1714/-115.5697",NA,NA,"decimal degrees","Tamrya D. d'Artenay","2000-09-21 00:00:00.0","MaNIS georeferencing guidelines","Topozone USGS 1:100000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia; Chordata; Aves; Ciconiiformes; Ardeidae;","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_71283"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"weight=182.00 g; sex=male ; age=u imm. ; molt condition=examined for molt","urn:occurrence:Arctos:MVZ:Bird:69495:772796","69495","1834","Collector(s): David H. Johnson","1","male",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,"collector number=1834","ED:MOLT-SEE SPECIMEN.",NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1936-08-10",NA,NA,"223","1936","08","10","10 Aug 1936",NA,NA,NA,"North America, United States, California, San Benito County","North America",NA,NA,NA,"United States",NA,"California","San Benito County",NA,"6 mi ESE San Benito","6 mi ESE San Benito","487.68","487.68",NA,"James L. Patton",NA,"36.4814","-121.0361","North American Datum 1927","1000",NA,"36.4814/-121.0361",NA,NA,"decimal degrees","James L. Patton","2000-08-22 00:00:00.0","not recorded","Topozone USGS 1:25000","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_69495"
"specimen","urn:lsid:biocol.org:col:34777","urn:lsid:biocol.org:col:34952","MVZ","Bird specimens",NA,NA,"PreservedSpecimen",NA,"weight=182.70 g; sex=male ; age=u imm.","urn:occurrence:Arctos:MVZ:Bird:119253:1595058","119253","6942","Collector(s): Alden H. Miller","1","male",NA,NA,NA,"wild caught",NA,"study skin",NA,NA,"collector number=6942",NA,NA,"<i>Butorides virescens anthonyi</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",NA,"1948-09-06",NA,NA,"250","1948","09","06","6 Sep 1948",NA,NA,NA,"North America, Mexico, Chihuahua","North America",NA,NA,NA,"Mexico",NA,"Chihuahua",NA,NA,"Ramos","Ramos","1463.04","1463.04",NA,"Katherine Moore",NA,"30.6","-108.083333","World Geodetic System 1984","3036",NA,"30.6/-108.083333",NA,NA,"decimal degrees","Katherine Moore","2011-09-28 00:00:00.0","GeoLocate","GeoLocate","unverified",NA,"A","Museum of Vertebrate Zoology, University of California, Berkeley","1999-01-27","legacy",NA,"Butorides virescens anthonyi","Animalia Chordata Aves Ciconiiformes Ardeidae","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","virescens","anthonyi",NA,NA,NA,"ICZN","mvz_119253"
