,id_x,id_y,score
0,5eab9655-f967-45ef-b8fa-5e8632163c59,d3ebc60d-6c75-40d4-a437-56a6a17c2f55,0.1
1,5eab9655-f967-45ef-b8fa-5e8632163c59,30c60ac1-5a2c-4360-a83b-5670beffadf0,0.1
2,5eab9655-f967-45ef-b8fa-5e8632163c59,22be1688-b960-4ca4-802f-6f9f48a0cd7f,0.1
3,5eab9655-f967-45ef-b8fa-5e8632163c59,8f267016-ccc3-46ce-8a50-87a48cfe8cfb,0.1
4,5eab9655-f967-45ef-b8fa-5e8632163c59,a22b9f8f-fb3a-495b-b939-127b8a159db6,0.1
5,5eab9655-f967-45ef-b8fa-5e8632163c59,24a7de6b-7feb-42dc-a4eb-12293e3231e7,0.1
6,5eab9655-f967-45ef-b8fa-5e8632163c59,ddecd554-bdb4-4478-a423-b961673d5fcd,0.1
7,5eab9655-f967-45ef-b8fa-5e8632163c59,e347a7ff-59bb-4588-813b-18f0d6dfd0d4,0.1
8,5eab9655-f967-45ef-b8fa-5e8632163c59,b6b0a20e-3c2c-4c08-9fc7-4c1883d7511e,0.1
9,5eab9655-f967-45ef-b8fa-5e8632163c59,53c377a4-7f57-4cfb-bb48-aee60a01e5ba,0.1
10,5eab9655-f967-45ef-b8fa-5e8632163c59,8a1371b5-ebf2-4821-b29c-0e66a0af0046,0.1
11,5eab9655-f967-45ef-b8fa-5e8632163c59,1a8d5916-3b31-474b-9e12-0baea395a747,0.1
12,5eab9655-f967-45ef-b8fa-5e8632163c59,54a2ffb7-ccbd-4fb7-8d06-ee8d2d27428b,0.1
13,5eab9655-f967-45ef-b8fa-5e8632163c59,218a9e10-6bb5-44b6-b64e-615110a34796,0.1
14,5eab9655-f967-45ef-b8fa-5e8632163c59,4a9e847f-12ac-4614-95d7-11a9c0c3bd0e,0.1
15,5eab9655-f967-45ef-b8fa-5e8632163c59,95492dec-ec81-49fc-8736-c3aa2179d105,0.1
16,5eab9655-f967-45ef-b8fa-5e8632163c59,1639b9ae-873d-4069-96a8-06f521b95273,0.1
17,5eab9655-f967-45ef-b8fa-5e8632163c59,a9ae66ec-920d-4a19-9f44-9f7894928231,0.1
18,5eab9655-f967-45ef-b8fa-5e8632163c59,0f38d1d3-8b84-4d12-aebc-5ae45eacf1bd,0.1
19,5eab9655-f967-45ef-b8fa-5e8632163c59,1ceaa55d-07be-495d-be1e-3eafa6cbd536,0.1
20,5eab9655-f967-45ef-b8fa-5e8632163c59,a41d4a8e-ef7e-45c4-91d0-1c94b590da19,0.1
21,5eab9655-f967-45ef-b8fa-5e8632163c59,c3f12187-ff01-484b-a252-67c000b9e64e,0.1
22,5eab9655-f967-45ef-b8fa-5e8632163c59,4db8df8e-e905-4484-9f6f-e48ae0eb215b,0.1
23,5eab9655-f967-45ef-b8fa-5e8632163c59,5043e802-4da4-4bc2-a4bd-a48892acd9a5,0.1
24,5eab9655-f967-45ef-b8fa-5e8632163c59,4668c5fc-e800-4462-b6e6-90f240467695,0.1
25,5eab9655-f967-45ef-b8fa-5e8632163c59,ccc421a9-43ce-4f52-8dd7-5b23b6d5b8d1,0.1
26,5eab9655-f967-45ef-b8fa-5e8632163c59,9a192d83-73d3-4f58-87b1-a0020a152664,0.1
27,5eab9655-f967-45ef-b8fa-5e8632163c59,a6364616-8455-4142-a4ee-84c46dce12bf,0.1
28,5eab9655-f967-45ef-b8fa-5e8632163c59,6df6cd29-24b5-4630-b5c7-521abf8c0d79,0.1
29,5eab9655-f967-45ef-b8fa-5e8632163c59,3641db7a-14ed-4805-bbab-ff9e6655a0dd,0.1
30,5eab9655-f967-45ef-b8fa-5e8632163c59,7defa35c-7e7e-43c4-bd14-769ece8bc79b,0.1
31,5eab9655-f967-45ef-b8fa-5e8632163c59,d1af5a15-d73d-4fb7-a155-28aad65d3b2b,0.1
32,5eab9655-f967-45ef-b8fa-5e8632163c59,21ee4c32-ac54-469d-a0ff-1b8036c4313e,0.1
33,5eab9655-f967-45ef-b8fa-5e8632163c59,026537ed-dc5e-4221-9a50-dbcf926bf1cb,0.1
34,5eab9655-f967-45ef-b8fa-5e8632163c59,bdea9f90-5418-461e-b248-189bd4104e6c,0.1
35,5eab9655-f967-45ef-b8fa-5e8632163c59,f7105275-e2fe-49ff-bfa5-6b97a7753a6e,0.1
36,5eab9655-f967-45ef-b8fa-5e8632163c59,c2997dba-c699-4fc0-afd3-d86d5fa11c50,0.1
37,5eab9655-f967-45ef-b8fa-5e8632163c59,1533bbc8-ed04-4af0-97bf-ca60308b8cc3,0.1
38,5eab9655-f967-45ef-b8fa-5e8632163c59,821be4e6-9c6e-4f20-95d6-86b97388ce64,0.1
39,5eab9655-f967-45ef-b8fa-5e8632163c59,7e335553-c1a3-47c2-8dea-6b5076b6b803,0.1
40,5eab9655-f967-45ef-b8fa-5e8632163c59,3932ad55-8ebd-4b0a-b0a4-260779b04fe8,0.1
41,5eab9655-f967-45ef-b8fa-5e8632163c59,a4d9548e-2e50-47f9-8741-e85331153012,0.1
42,5eab9655-f967-45ef-b8fa-5e8632163c59,122b13d5-930c-4b5a-9cd5-e076ecfa515a,0.1
43,5eab9655-f967-45ef-b8fa-5e8632163c59,eaa337d0-bc32-4c3c-86b4-508f5b4979a4,0.1
44,5eab9655-f967-45ef-b8fa-5e8632163c59,ab03acf4-a986-4c79-8648-d0782cd2f194,0.1
45,5eab9655-f967-45ef-b8fa-5e8632163c59,bf1e84d4-dbaf-410f-b986-dba9b1cb89cb,0.1
46,5eab9655-f967-45ef-b8fa-5e8632163c59,b6651081-4609-4891-8bbb-2f53b530e684,0.1
47,5eab9655-f967-45ef-b8fa-5e8632163c59,cdd02fa6-db28-4513-90e6-9bc06b2fcfe8,0.1
48,5eab9655-f967-45ef-b8fa-5e8632163c59,c5959b6a-795b-4121-bf4a-fa49e6e353ee,0.1
49,5eab9655-f967-45ef-b8fa-5e8632163c59,79281ed9-2a02-4501-b339-3e307cf17856,0.1
50,5eab9655-f967-45ef-b8fa-5e8632163c59,8f2047d4-57aa-4216-9ad8-decf8f233ffc,0.1
51,5eab9655-f967-45ef-b8fa-5e8632163c59,97ce5845-5d8a-4891-859d-6171ab3ae004,0.1
52,5eab9655-f967-45ef-b8fa-5e8632163c59,ba328a30-0cf0-4972-aedf-8fa377498665,0.1
53,5eab9655-f967-45ef-b8fa-5e8632163c59,6cd6d91f-5c88-4c50-bd79-914e11c677ec,0.1
54,5eab9655-f967-45ef-b8fa-5e8632163c59,8fb9a591-31c5-470f-9646-72e4f0697f66,0.1
55,5eab9655-f967-45ef-b8fa-5e8632163c59,81c2a166-c4f6-40b0-910f-1d31906da737,0.1
56,5eab9655-f967-45ef-b8fa-5e8632163c59,4bc60992-b3e0-4f82-8bde-d1b9b06a2262,0.1
57,5eab9655-f967-45ef-b8fa-5e8632163c59,da4df945-af0e-490c-bf1a-48a7ebe9ff43,0.1
58,5eab9655-f967-45ef-b8fa-5e8632163c59,67fe40fc-abdb-4db6-a50c-60c01315e817,0.1
59,5eab9655-f967-45ef-b8fa-5e8632163c59,2ef32ecd-beb0-41c2-bbd6-ef6375c3fa7f,0.1
60,5eab9655-f967-45ef-b8fa-5e8632163c59,bdedbb3f-f154-4c4a-b94a-b99a0dba2ad0,0.1
61,5eab9655-f967-45ef-b8fa-5e8632163c59,99c4fae8-0ea8-49af-ad77-7012dc8629d7,0.1
62,5eab9655-f967-45ef-b8fa-5e8632163c59,e191ab03-59c6-4d54-9938-473252b0978e,0.1
63,5eab9655-f967-45ef-b8fa-5e8632163c59,b389c903-cdf7-4415-81b3-b00ead5bb13e,0.1
64,5eab9655-f967-45ef-b8fa-5e8632163c59,7d31aa2a-bfbc-456a-9017-0d8f1fa26a4b,0.1
65,5eab9655-f967-45ef-b8fa-5e8632163c59,4f5f6dee-ea45-47ea-b96f-67a6f32396c5,0.1
66,5eab9655-f967-45ef-b8fa-5e8632163c59,be2b5410-df37-4e68-bf06-65c5fd40fd44,0.1
67,5eab9655-f967-45ef-b8fa-5e8632163c59,0106a830-ff1c-471c-bf4a-d08727499457,0.1
68,5eab9655-f967-45ef-b8fa-5e8632163c59,8c5b32d3-7255-4478-844e-e2c732c41118,0.1
69,5eab9655-f967-45ef-b8fa-5e8632163c59,31f4e1b6-99e6-4838-8a24-20298a00902a,0.1
70,5eab9655-f967-45ef-b8fa-5e8632163c59,95d2c8fc-a11f-41ed-94ff-8810a8458385,0.1
71,5eab9655-f967-45ef-b8fa-5e8632163c59,2f9e7dc6-d3c4-4205-b354-059293af5f9c,0.1
72,5eab9655-f967-45ef-b8fa-5e8632163c59,46ae0778-c9a9-4fb5-9605-d30a2be7d617,0.1
73,5eab9655-f967-45ef-b8fa-5e8632163c59,e79f501a-b524-45ea-86e4-e2b207c26db9,0.1
74,5eab9655-f967-45ef-b8fa-5e8632163c59,18e198db-f810-4f76-8106-a3aa2fd01aa1,0.1
75,5eab9655-f967-45ef-b8fa-5e8632163c59,49a50f8b-42a3-489a-b16c-dbc0b489c139,0.1
